MGI	MGI:106209	Hells		GO:0031508	MGI:MGI:3041983|PMID:14612388	IMP		P	helicase, lymphoid specific	E130115I21Rik|LSH|Lysh|PASG|proliferation-associated SNF2-like|YFK8	protein_coding_gene	NCBITaxon:10090	20061106	UniProt		
MGI	MGI:106209	Hells		GO:0031508	PMID:21873635	IBA	PANTHER:PTN002245661|MGI:MGI:106209	P	helicase, lymphoid specific	E130115I21Rik|LSH|Lysh|PASG|proliferation-associated SNF2-like|YFK8	protein_coding_gene	NCBITaxon:10090	20200210	GO_Central		
JaponicusDB	SJAG_01204	rtt109		GO:0031508	GO_REF:0000107	IEA	PomBase:SPBC342.06c	P	histone lysine acetyltransferase Rtt109		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_04253	ers1		GO:0031508	GO_REF:0000107	IEA	PomBase:SPCC1393.05	P	RNA-silencing factor Ers1		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_04039	hst4		GO:0031508	GO_REF:0000107	IEA	PomBase:SPAC1783.04c	P	histone deacetylase, Sirtuin family, NAD-dependent Hst4		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_02846	pst1		GO:0031508	GO_REF:0000107	IEA	PomBase:SPBC12C2.10c	P	Clr6 histone deacetylase complex subunit Pst1		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_02725	cid12		GO:0031508	GO_REF:0000107	IEA	PomBase:SPCC663.12	P	poly(A) polymerase Cid12		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_02119	raf2		GO:0031508	GO_REF:0000107	IEA	PomBase:SPCC970.07c	P	CLRC ubiquitin ligase complex subunit Raf2		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_01579	chp2		GO:0031508	GO_REF:0000107	IEA	PomBase:SPBC16C6.10	P	heterochromatin (HP1) family chromodomain protein Chp2		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_01540	cul4		GO:0031508	GO_REF:0000107	IEA	PomBase:SPAC3A11.08	P	cullin 4		protein	NCBITaxon:4897	20230101	PomBase		
MGI	MGI:1101768	H3f3b		GO:0031508	PMID:26159997	IGI	MGI:MGI:1097686	P	H3.3 histone B	9430068D06Rik|H3-3b|H3.3B	protein_coding_gene	NCBITaxon:10090	20160420	MGI		
MGI	MGI:1920389	Cenpv		GO:0031508	MGI:MGI:3834784|PMID:18772885	ISS	UniProtKB:Q7Z7K6	P	centromere protein V	3110013H01Rik|Prr6	protein_coding_gene	NCBITaxon:10090	20081216	UniProt		
MGI	MGI:1920389	Cenpv		GO:0031508	PMID:21873635	IBA	PANTHER:PTN002007387|UniProtKB:Q7Z7K6	P	centromere protein V	3110013H01Rik|Prr6	protein_coding_gene	NCBITaxon:10090	20190822	GO_Central		
JaponicusDB	SJAG_03193	hrr1		GO:0031508	GO_REF:0000107	IEA	PomBase:SPCC1739.03	P	RNAi-mediated heterochromatin assembly helicase Hrr1		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_02409	stc1		GO:0031508	GO_REF:0000107	IEA	PomBase:SPBP8B7.28c	P	CLRC complex-Argonaute linker protein Stc1		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_01075	hst2		GO:0031508	GO_REF:0000107	IEA	PomBase:SPCC132.02	P	histone deacetylase, Sirtuin family, NAD-dependent Hst2		protein	NCBITaxon:4897	20230101	PomBase		
JaponicusDB	SJAG_00756	raf1		GO:0031508	GO_REF:0000107	IEA	PomBase:SPCC613.12c	P	CLRC ubiquitin ligase complex WD repeat subunit Raf1/Dos1		protein	NCBITaxon:4897	20230101	PomBase		
UniProtKB	G4NCI1	MGG_01076		GO:0031508	GO_REF:0000028	ISS	PomBase:SPBC800.03	P	Histone deacetylase		protein	NCBITaxon:242507	20080211	PAMGO_MGG		
UniProtKB	A0A250YGJ5	SIRT6		GO:0031508	GO_REF:0000024	ISS	UniProtKB:Q8N6T7	P	NAD-dependent protein deacylase sirtuin-6		protein	NCBITaxon:51338	20220301	UniProt		
UniProtKB	Q294B9	Su(var)3-9		GO:0031508	GO_REF:0000024	ISS	UniProtKB:P45975	P	Histone-lysine N-methyltransferase Su(var)3-9	GA19622	protein	NCBITaxon:46245	20070427	UniProt		
UniProtKB	A0A2K5TU92	SIRT6		GO:0031508	GO_REF:0000024	ISS	UniProtKB:Q8N6T7	P	NAD-dependent protein deacylase sirtuin-6		protein	NCBITaxon:9541	20220301	UniProt		
FB	FBgn0039338	XNP		GO:0031508	FB:FBrf0210725|PMID:20154359	IMP		P	XNP	ATR-X/XNP|ATRX|CG4548|DATR-X|DATRX|EP(3)0635|EP635|XNP/dATRX|dXNP|xnp/atr-x	protein	NCBITaxon:7227	20210907	FlyBase		
FB	FBgn0264495	gpp	not	GO:0031508	FB:FBrf0183454|PMID:15371351	IMP		P	grappa	0732/14|BcDNA:SD05230|CG10272|CG33324|CG42803|DOT1L|EN3-1|Enhancer of NA9 3-1|Grappa|anon-WO0118547.319|dDOT1L|dDot1|grp|l(3)03342|l(3)S073214b|l(3)sA3484|lethal (3) S073214b	protein	NCBITaxon:7227	20050128	UniProt		
FB	FBgn0003607	Su(var)205		GO:0031508	FB:FBrf0147067|PMID:11901117	HMP		P	Suppressor of variegation 205	C1A9-nuclear-antigen|CBX5|CG8409|DmHP-1|DmHP1|E(var)29|E(var)29A|HP-1|HP1|HP1-VS|HP1A|HP1alpha|Heterochromatic Protein 1|Heterochromatic Protein 1a|Heterochromatin Protein 1|Heterochromatin Protein 1A|Heterochromatin protein-1|Histone Protein 1|Su(Var)2-5|Su(var)|Su(var)2-05|Su(var)2-501|Su(var)29A|Su(var)[205]|Su-var(2)5|Su[Var]205|Sur(var)205|Suvar(2)5|Suvar2-5|dHP-1a|dHP1|dHP1a|heterochromatic protein|heterochromatin factor 1|heterochromatin-binding protein|heterochromatin-protein-1|suppressor of variegated 205|suppressor of variegation 205	protein	NCBITaxon:7227	20180105	FlyBase		
FB	FBgn0028387	chm		GO:0031508	FB:FBrf0146943|PMID:12007422	IGI	FB:FBgn0003042	P	chameau	CG5229|Chameau|HAT|HAT1|HBO1|dmHAG404	protein	NCBITaxon:7227	20211108	FlyBase		
FB	FBgn0263755	Su(var)3-9		GO:0031508	FB:FBrf0147067|PMID:11901117	HMP		P	Suppressor of variegation 3-9	CG43664|CG6476|E(var)3-2|Enhancer of variegation 3-2|SUV39|SUV39H1|Su(var)|Su(var) 3-9|Su(var)3-902|Su(var)306|Su(var)310|Su(var)328|Su-var(3)9|Su-var(3)902|SuVar3-9|Suppressor of variegation 306|Suppressor of variegation 310|Suppressor of variegation 328|Suv 3-9|Suvar(3)9|Suvar39|caa56376 Suvar39 Dm|dSU(VAR)3-9|histone methyltransferase|pitkin|ptn	protein	NCBITaxon:7227	20180105	FlyBase		
CGD	CAL0000171673	Cd36_00880		GO:0031508	CGD_REF:CAL0121033	IEA	PomBase:SPBC12C2.10c	P		Cd_tempid_1_5236	gene_product	NCBITaxon:573826	20210202	CGD		
