assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:98663	Tef	PMID:1916262		GO:0045944	positive regulation of transcription by RNA polymerase II	IDA			20030130		NCBITaxon:10090
MGI	MGI:MGI:98660	Sry	PMID:19850934		GO:0000122	negative regulation of transcription by RNA polymerase II	IGI	MGI:MGI:98660		20121102		NCBITaxon:10090
MGI	MGI:MGI:98660	Sry	PMID:22344693		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20130923		NCBITaxon:10090
MGI	MGI:MGI:98658	Tdgf1	PMID:17568773		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:1347465		20080312	MGI:MGI:1351322	NCBITaxon:10090
MGI	MGI:MGI:98658	Tdgf1	PMID:17568773		GO:0045944	positive regulation of transcription by RNA polymerase II	IGI	MGI:MGI:97359		20080312	MGI:MGI:1351322	NCBITaxon:10090
UniProt	MGI:MGI:1855692	Nono	MGI:MGI:5444785|PMID:22966205		GO:0045892	negative regulation of DNA-templated transcription	IDA			20140611		NCBITaxon:10090
GO_Central	MGI:MGI:1343464	Rorb	MGI:MGI:5546314|PMID:23652001		GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IDA			20200915		NCBITaxon:10090
NTNU_SB	MGI:MGI:1343464	Rorb	MGI:MGI:3652638|PMID:16574740		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IDA			20170221	MGI:MGI:99438|SO:0001952	NCBITaxon:10090
UniProt	MGI:MGI:1343464	Rorb	MGI:MGI:3652638|PMID:16574740		GO:0003700	DNA-binding transcription factor activity	IDA			20061031		NCBITaxon:10090
UniProt	MGI:MGI:1343464	Rorb	MGI:MGI:3652638|PMID:16574740		GO:0045893	positive regulation of DNA-templated transcription	IDA			20061101		NCBITaxon:10090
